planificacion_slug,convocatoria_slug,adjudicacion_slug,precalificacion_slug,convenio_slug,nro_licitacion,nombre_licitacion,tipo_procedimiento,categoria,convocante,_etapa_licitacion,etapa_licitacion,fecha_entrega_oferta,tipo_licitacion,fecha_estimada,fecha_publicacion_convocatoria,geo,
342427-mantenimiento-shelters-internet-1,342427-adquisicion-e-instalacion-shelters-internet-1,342427-adquisicion-e-instalacion-shelters-internet-1,,,342427,ADQUISICIÓN E INSTALACIÓN DE SHELTERS DE INTERNET,CO - Concurso de Ofertas,"22 - Maquinarias, Equipos y herramientas mayores - Equipos de transporte",Compañía Paraguaya de Comunicaciones / Soc. Anónimas con Part. Accionaria Mayoritaria del Estado,ADJ,Adjudicada,2019-02-01 07:30:00,tradicional,2019-12-31 00:00:00,2018-12-18 10:30:03,,
342512-provision-montaje-equipos-ups-reemplazo-banco-baterias-ups-ya-existentes-centrales-1,342512-provision-montaje-equipos-ups-centrales-telefonicas-1,,,,342512,PROVISIÓN Y MONTAJE DE EQUIPOS UPS EN VARIAS CENTRALES TELEFÓNICAS,LPN - Licitación Pública Nacional,"24 - Equipos, accesorios y programas computacionales, de oficina, educativos, de imprenta, de comunicación y señalamiento",Compañía Paraguaya de Comunicaciones / Soc. Anónimas con Part. Accionaria Mayoritaria del Estado,EVAL,En Evaluacion (Cerrada),2018-12-20 07:30:00,tradicional,2019-06-30 00:00:00,2018-11-12 16:58:23,,
342605-adquisicion-controladores-semaforicos-optica-led-1,342605-adquisicion-equipos-controladores-e-insumos-varios-renovacion-sistema-semaforico-asu-3,342605-adquisicion-equipos-controladores-e-insumos-varios-renovacion-sistema-semaforico-asu-1,,,,342605,ADQUISICIÓN DE EQUIPOS CONTROLADORES E INSUMOS VARIOS PARA RENOVACIÓN DEL SISTEMA SEMAFÓRICO DE ASUNCIÓN,LPN - Licitación Pública Nacional,"22 - Maquinarias, Equipos y herramientas mayores - Equipos de transporte",Municipalidad de Asunción / Municipalidades,CONV,En Convocatoria (Abierta),2019-10-16 09:00:00,tradicional,2019-07-31 00:00:00,2019-07-03 10:20:51,
343037-servicios-limpieza-edificios-dependencias-mopc-1,343037-llamado-mopc-n-07-2019-licitacion-publica-nacional-subas-baja-electronica-servicios-1,343037-llamado-mopc-n-07-2019-licitacion-publica-nacional-subas-baja-electronica-servicios-1,,,343037,LLAMADO MOPC Nº 07/2019 LICITACIÓN PUBLICA NACIONAL SUBAS A LA BAJA ELECTRÓNICA PARA LOS SERVICIOS DE LIMPIEZA DE EDIFICIOS PARA VARIAS DEPENDENCIAS DEL MOPC ,LPN - Licitación Pública Nacional,"2 - Servicios de Limpiezas, Mantenimientos y reparaciones menores y mayores de Instalaciones, Maquinarias y Vehículos",Ministerio de Obras Públicas y Comunicaciones / Poder Ejecutivo,ADJ,Adjudicada,2019-02-27 08:00:00,tradicional,2019-02-28 00:00:00,2019-02-08 16:32:28,,
343107-servicio-reparacion-mantenimiento-transformadores-puestos-distribucion-1,343107-servicio-reparacion-mantenimiento-transformadores-puestos-distribucion-plurianual-1,,,,343107,SERVICIO DE REPARACIÓN Y MANTENIMIENTO DE TRANSFORMADORES Y PUESTOS DE DISTRIBUCIÓN - PLURIANUAL,CO - Concurso de Ofertas,"2 - Servicios de Limpiezas, Mantenimientos y reparaciones menores y mayores de Instalaciones, Maquinarias y Vehículos",Compañía Paraguaya de Comunicaciones / Soc. Anónimas con Part. Accionaria Mayoritaria del Estado,EVAL,En Evaluacion (Cerrada),2019-09-16 08:50:00,tradicional,2019-07-31 00:00:00,2019-08-08 14:36:04,,
343144-mantenimiento-maquinas-lavanderia-adecuacion-suministro-agua-caliente-provision-repu-1,343144-lpn-47-18-mantenimiento-maquinas-lavanderia-adecuacion-suministro-agua-caliente-prov-1,,,,343144,LPN 47-18 MANTENIMIENTO DE MAQUINAS DE LAVANDERIA Y ADECUACION DEL SUMINISTRO DE AGUA CALIENTE CON PROVISION DE REPUESTOS A DEMANDA DEL HOSPITAL CENTRAL,LPN - Licitación Pública Nacional,7 - Servicios Técnicos,Instituto de Previsión Social / Entidades Públicas de Seguridad Social,EVAL,En Evaluacion (Cerrada),2019-07-25 08:45:00,tradicional,2019-02-28 00:00:00,2019-05-30 17:22:28,,
343540-mantenimiento-reparacion-vehiculos-marca-mitsubishi-propiedad-rectorado-universidad-1,343540-mantenimiento-reparacion-vehiculos-marcas-isuzu-hyundai-propiedad-rectorado-universi-1,343540-mantenimiento-reparacion-vehiculos-marcas-isuzu-hyundai-propiedad-rectorado-universi-1,,,343540,MANTENIMIENTO Y REPARACION DE VEHICULOS DE LAS MARCAS ISUZU Y HYUNDAI PROPIEDAD DEL RECTORADO DE LA UNIVERSIDAD NACIONAL DE ASUNCION,CD - Contratación Directa,"2 - Servicios de Limpiezas, Mantenimientos y reparaciones menores y mayores de Instalaciones, Maquinarias y Vehículos",Rectorado / Universidad Nacional de Asunción / Universidades Nacionales,ADJ,Adjudicada,2019-01-21 10:00:00,tradicional,2019-02-28 00:00:00,2018-12-20 10:06:07,,
343576-mantenimiento-reparacion-sistema-electrico-subsecretaria-estado-tributacion-minister-1,343576-mantenimiento-reparacion-sistema-electrico-subsecretaria-estado-tributacion-minister-1,343576-mantenimiento-reparacion-sistema-electrico-subsecretaria-estado-tributacion-minister-1,,,343576,MANTENIMIENTO Y REPARACIÓN DEL SISTEMA ELÉCTRICO DE LA SUBSECRETARÍA DE ESTADO DE TRIBUTACIÓN DEL MINISTERIO DE HACIENDA,CO - Concurso de Ofertas,"2 - Servicios de Limpiezas, Mantenimientos y reparaciones menores y mayores de Instalaciones, Maquinarias y Vehículos",Subsecretaria de Estado de Tributación / Ministerio de Hacienda / Poder Ejecutivo,ADJ,Adjudicada,2019-03-12 10:00:00,tradicional,2019-01-31 00:00:00,2019-02-26 15:37:19,,
343589-servicio-mantenimiento-reparacion-sistema-prevencion-incendios-subsecretaria-estado-1,343589-lco-n-01-2019-servicio-mantenimiento-reparacion-sistema-prevencion-incendios-subsecr-1,,,,343589,LCO N° 01/2019 SERVICIO DE MANTENIMIENTO Y REPARACIÓN DEL SISTEMA DE PREVENCIÓN DE INCENDIOS DE LA SUBSECRETARÍA DE ESTADO DE TRIBUTACIÓN DEL MINISTERIO DE HACIENDA,CO - Concurso de Ofertas,"2 - Servicios de Limpiezas, Mantenimientos y reparaciones menores y mayores de Instalaciones, Maquinarias y Vehículos",Subsecretaria de Estado de Tributación / Ministerio de Hacienda / Poder Ejecutivo,DES,Desierta,2019-03-01 10:00:00,tradicional,2019-02-28 00:00:00,2019-01-24 15:12:08,,
343996-adquisicion-licencias-software-ofimatica-servidor-1,343996-adquisicion-licencias-software-ofimatica-1,,,,343996,ADQUISICIÓN DE LICENCIAS DE SOFTWARE DE OFIMATICA,CD - Contratación Directa,"24 - Equipos, accesorios y programas computacionales, de oficina, educativos, de imprenta, de comunicación y señalamiento",Municipalidad de Asunción / Municipalidades,EVAL,En Evaluacion (Cerrada),2019-06-10 09:45:00,tradicional,2019-05-31 00:00:00,2019-05-30 11:02:09,,
344141-adquisicion-vehiculos-flota-municipalidad-asuncion-1,344141-adquisicion-vehiculos-flota-municipalidad-asuncion-1,,,,344141,ADQUISICIÓN DE VEHÍCULOS PARA LA FLOTA DE LA MUNICIPALIDAD DE ASUNCIÓN,LPN - Licitación Pública Nacional,"22 - Maquinarias, Equipos y herramientas mayores - Equipos de transporte",Municipalidad de Asunción / Municipalidades,EVAL,En Evaluacion (Cerrada),2019-07-01 09:00:00,tradicional,2019-01-31 00:00:00,2019-03-25 15:25:36,,
344279-adquisicion-equipos-informaticos-sbe-bnf-1,344279-adquisicion-equipos-informaticos-sbe-bnf-1,344279-adquisicion-equipos-informaticos-sbe-bnf-1,,,344279,Adquisición de Equipos Informaticos (SBE) para el BNF,LPN - Licitación Pública Nacional,"24 - Equipos, accesorios y programas computacionales, de oficina, educativos, de imprenta, de comunicación y señalamiento",Banco Nacional de Fomento  / Entidades Financieras Oficiales,ADJ,Adjudicada,2019-05-24 08:00:00,tradicional,2019-05-31 00:00:00,2018-10-17 16:24:23,,
344349-adquisicion-bolsas-residuos-rectorado-universidad-nacional-asuncion-1,,,,,344349,SERVICIO DE MANTENIMIENTO Y REPARACIÓN DE MOTOBOMBAS PARA EL RECTORADO DE LA UNIVERSIDAD NACIONAL DE ASUNCIÓN,CD - Contratación Directa,"2 - Servicios de Limpiezas, Mantenimientos y reparaciones menores y mayores de Instalaciones, Maquinarias y Vehículos",Rectorado / Universidad Nacional de Asunción / Universidades Nacionales,PLAN,Planificada,,tradicional,2019-05-31 00:00:00,,,
344456-adquisicion-central-telefonica-rectorado-universidad-nacional-asuncion-1,344456-adquisicion-juegos-didacticos-centro-cuidado-educacion-infantil-rectorado-universida-1,344456-adquisicion-juegos-didacticos-centro-cuidado-educacion-infantil-rectorado-universida-1,,,344456,ADQUISICIÓN DE JUEGOS DIDÁCTICOS PARA EL CENTRO DE CUIDADO Y EDUCACIÓN INFANTIL DEL RECTORADO DE LA UNIVERSIDAD NACIONAL DE ASUNCIÓN,CD - Contratación Directa,"24 - Equipos, accesorios y programas computacionales, de oficina, educativos, de imprenta, de comunicación y señalamiento",Rectorado / Universidad Nacional de Asunción / Universidades Nacionales,ADJ,Adjudicada,2019-04-01 09:00:00,tradicional,2019-03-31 00:00:00,2019-03-06 14:23:14,,
344463-construccion-edificios-rectorado-universidad-nacional-asuncion-1,344463-reposicion-reparacion-mantenimiento-cerco-perimetral-vereda-rectorado-universidad-na-1,,,,344463,"REPOSICIÓN, REPARACIÓN Y MANTENIMIENTO DEL CERCO PERIMETRAL Y VEREDA DEL RECTORADO DE LA UNIVERSIDAD NACIONAL DE ASUNCIÓN CONTRATO ABIERTO PLURIANUAL 2019 2020",CO - Concurso de Ofertas,"2 - Servicios de Limpiezas, Mantenimientos y reparaciones menores y mayores de Instalaciones, Maquinarias y Vehículos",Rectorado / Universidad Nacional de Asunción / Universidades Nacionales,CAN,Anulada o Cancelada,2019-04-23 09:00:00,tradicional,2019-02-28 00:00:00,2019-04-02 15:55:47,,
344642-servicio-mantenimiento-reparacion-data-center-bnf-sbe-1,344642-servicio-mantenimiento-reparacion-data-center-bnf-sbe-1,344642-servicio-mantenimiento-reparacion-data-center-bnf-sbe-1,,,344642,Servicio de Mantenimiento y Reparación del Data Center del BNF (SBE),CO - Concurso de Ofertas,"2 - Servicios de Limpiezas, Mantenimientos y reparaciones menores y mayores de Instalaciones, Maquinarias y Vehículos",Banco Nacional de Fomento  / Entidades Financieras Oficiales,ADJ,Adjudicada,2019-01-02 08:00:00,tradicional,2019-03-31 00:00:00,2018-11-07 17:03:30,,
346592-adquisicion-renovacion-licencias-1,346592-mantenimiento-reparacion-vehiculos-utilitarios-annp-1,346592-mantenimiento-reparacion-vehiculos-utilitarios-annp-1,,,346592,MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS UTILITARIOS DE LA ANNP,CO - Concurso de Ofertas,"2 - Servicios de Limpiezas, Mantenimientos y reparaciones menores y mayores de Instalaciones, Maquinarias y Vehículos",Administración Nacional de Navegación y Puertos  / Empresas Públicas,ADJ,Adjudicada,2019-04-30 08:00:00,tradicional,2019-02-28 00:00:00,2019-04-12 14:17:12,,
346639-servicio-rastreo-satelital-vehiculos-1,,,,,346639,Servicio de rastreo satelital de vehículos,CD - Contratación Directa,7 - Servicios Técnicos,"Ministerio de Urbanismo, Vivienda y Habitat / Poder Ejecutivo",CAN,Anulada o Cancelada,,tradicional,2019-01-31 00:00:00,,,
347747-contratacion-servicios-mantenimiento-reparacion-edificios-dependientes-msp-bs-1,347747-contratacion-servicios-mantenimiento-reparacion-edificios-dependientes-msp-bs-1,,,,347747,CONTRATACIÓN DE SERVICIOS DE MANTENIMIENTO Y REPARACIÓN DE EDIFICIOS DEPENDIENTES DEL MSP Y BS ,LPN - Licitación Pública Nacional,"2 - Servicios de Limpiezas, Mantenimientos y reparaciones menores y mayores de Instalaciones, Maquinarias y Vehículos",Ministerio de Salud Pública y Bienestar Social / Poder Ejecutivo,EVAL,En Evaluacion (Cerrada),2019-07-19 08:50:00,tradicional,2019-03-31 00:00:00,2019-06-19 17:40:44,,
348176-adquisicion-opacimetros-1,348176-adquisicion-opacimetros-direccion-gestion-ambiental-3,348176-adquisicion-opacimetros-1,,,,348176,ADQUISICIÓN DE OPACIMETROS PARA LA DIRECCIÓN DE GESTIÓN AMBIENTAL,CD - Contratación Directa,"22 - Maquinarias, Equipos y herramientas mayores - Equipos de transporte",Municipalidad de Asunción / Municipalidades,EVAL,En Evaluacion (Cerrada),2019-01-28 09:45:00,tradicional,2019-01-31 00:00:00,2018-12-10 16:52:57,
348662-contratacion-servicio-mantenimiento-reparacion-edificio-centro-nacional-control-adic-1,348662-mantenimiento-reparacion-edificio-centro-nacional-control-adicciones-instituto-nacio-1,348662-mantenimiento-reparacion-edificio-centro-nacional-control-adicciones-instituto-nacio-1,,,348662,MANTENIMIENTO Y REPARACIÓN DEL EDIFICIO DEL CENTRO NACIONAL DE CONTROL DE ADICCIONES; DEL INSTITUTO NACIONAL DE SALUD Y EL PROGRAMA NACIONAL DE PREVENCION DEL CANCER DE CUELLO UTERINO Y MAMA DEL MSPBS ,CD - Contratación Directa,"2 - Servicios de Limpiezas, Mantenimientos y reparaciones menores y mayores de Instalaciones, Maquinarias y Vehículos",Ministerio de Salud Pública y Bienestar Social / Poder Ejecutivo,ADJ,Adjudicada,2019-07-10 09:50:00,tradicional,2019-05-31 00:00:00,2019-06-20 17:02:34,,
349368-provision-e-instalacion-generadores-baja-tension-hospital-central-1,349368-lpn-sbe-100-18-provision-e-instalacion-generadores-baja-tension-hospital-central-1,349368-lpn-sbe-100-18-provision-e-instalacion-generadores-baja-tension-hospital-central-1,,,349368,LPN SBE 100-18 PROVISIÓN E INSTALACIÓN DE GENERADORES EN BAJA TENSIÓN PARA EL HOSPITAL CENTRAL,LPN - Licitación Pública Nacional,"22 - Maquinarias, Equipos y herramientas mayores - Equipos de transporte",Instituto de Previsión Social / Entidades Públicas de Seguridad Social,ADJ,Adjudicada,2019-01-11 08:00:00,tradicional,2019-01-31 00:00:00,2018-11-22 12:22:06,,
