,planificacion_slug,convocatoria_slug,adjudicacion_slug,precalificacion_slug,convenio_slug,nro_licitacion,nombre_licitacion,tipo_procedimiento,categoria,convocante,_etapa_licitacion,etapa_licitacion,fecha_entrega_oferta,tipo_licitacion,fecha_estimada,fecha_publicacion_convocatoria,geo
30,343996-adquisicion-licencias-software-ofimatica-servidor-1,343996-adquisicion-licencias-software-ofimatica-1,343996-adquisicion-licencias-software-ofimatica-1,,,343996,ADQUISICIÓN DE LICENCIAS DE SOFTWARE DE OFIMATICA,CD - Contratación Directa,"24 - Equipos, accesorios y programas computacionales, de oficina, educativos, de imprenta, de comunicación y señalamiento",Municipalidad de Asunción / Municipalidades,ADJ,Adjudicada,2019-06-10 09:45:00,tradicional,2019-05-31 00:00:00,2019-05-30 11:02:09,
31,344141-adquisicion-vehiculos-flota-municipalidad-asuncion-1,344141-adquisicion-vehiculos-flota-municipalidad-asuncion-1,,,,344141,ADQUISICIÓN DE VEHÍCULOS PARA LA FLOTA DE LA MUNICIPALIDAD DE ASUNCIÓN,LPN - Licitación Pública Nacional,"22 - Maquinarias, Equipos y herramientas mayores - Equipos de transporte",Municipalidad de Asunción / Municipalidades,EVAL,En Evaluacion (Cerrada),2019-07-01 09:00:00,tradicional,2019-01-31 00:00:00,2019-03-25 15:25:36,
32,344279-adquisicion-equipos-informaticos-sbe-bnf-1,344279-adquisicion-equipos-informaticos-sbe-bnf-1,344279-adquisicion-equipos-informaticos-sbe-bnf-1,,,344279,Adquisición de Equipos Informaticos (SBE) para el BNF,LPN - Licitación Pública Nacional,"24 - Equipos, accesorios y programas computacionales, de oficina, educativos, de imprenta, de comunicación y señalamiento",Banco Nacional de Fomento  / Entidades Financieras Oficiales,ADJ,Adjudicada,2019-05-24 08:00:00,tradicional,2019-05-31 00:00:00,2018-10-17 16:24:23,
33,344349-adquisicion-bolsas-residuos-rectorado-universidad-nacional-asuncion-1,,,,,344349,SERVICIO DE MANTENIMIENTO Y REPARACIÓN DE MOTOBOMBAS PARA EL RECTORADO DE LA UNIVERSIDAD NACIONAL DE ASUNCIÓN,CD - Contratación Directa,"2 - Servicios de Limpiezas, Mantenimientos y reparaciones menores y mayores de Instalaciones, Maquinarias y Vehículos",Rectorado / Universidad Nacional de Asunción / Universidades Nacionales,PLAN,Planificada,,tradicional,2019-05-31 00:00:00,,
34,344456-adquisicion-central-telefonica-rectorado-universidad-nacional-asuncion-1,344456-adquisicion-juegos-didacticos-centro-cuidado-educacion-infantil-rectorado-universida-1,344456-adquisicion-juegos-didacticos-centro-cuidado-educacion-infantil-rectorado-universida-1,,,344456,ADQUISICIÓN DE JUEGOS DIDÁCTICOS PARA EL CENTRO DE CUIDADO Y EDUCACIÓN INFANTIL DEL RECTORADO DE LA UNIVERSIDAD NACIONAL DE ASUNCIÓN,CD - Contratación Directa,"24 - Equipos, accesorios y programas computacionales, de oficina, educativos, de imprenta, de comunicación y señalamiento",Rectorado / Universidad Nacional de Asunción / Universidades Nacionales,ADJ,Adjudicada,2019-04-01 09:00:00,tradicional,2019-03-31 00:00:00,2019-03-06 14:23:14,
35,344463-construccion-edificios-rectorado-universidad-nacional-asuncion-1,344463-reposicion-reparacion-mantenimiento-cerco-perimetral-vereda-rectorado-universidad-na-1,,,,344463,"REPOSICIÓN, REPARACIÓN Y MANTENIMIENTO DEL CERCO PERIMETRAL Y VEREDA DEL RECTORADO DE LA UNIVERSIDAD NACIONAL DE ASUNCIÓN CONTRATO ABIERTO PLURIANUAL 2019 2020",CO - Concurso de Ofertas,"2 - Servicios de Limpiezas, Mantenimientos y reparaciones menores y mayores de Instalaciones, Maquinarias y Vehículos",Rectorado / Universidad Nacional de Asunción / Universidades Nacionales,CAN,Anulada o Cancelada,2019-04-23 09:00:00,tradicional,2019-02-28 00:00:00,2019-04-02 15:55:47,
36,344642-servicio-mantenimiento-reparacion-data-center-bnf-sbe-1,344642-servicio-mantenimiento-reparacion-data-center-bnf-sbe-1,344642-servicio-mantenimiento-reparacion-data-center-bnf-sbe-1,,,344642,Servicio de Mantenimiento y Reparación del Data Center del BNF (SBE),CO - Concurso de Ofertas,"2 - Servicios de Limpiezas, Mantenimientos y reparaciones menores y mayores de Instalaciones, Maquinarias y Vehículos",Banco Nacional de Fomento  / Entidades Financieras Oficiales,ADJ,Adjudicada,2019-01-02 08:00:00,tradicional,2019-03-31 00:00:00,2018-11-07 17:03:30,
37,346592-adquisicion-renovacion-licencias-1,346592-mantenimiento-reparacion-vehiculos-utilitarios-annp-1,346592-mantenimiento-reparacion-vehiculos-utilitarios-annp-1,,,346592,MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS UTILITARIOS DE LA ANNP,CO - Concurso de Ofertas,"2 - Servicios de Limpiezas, Mantenimientos y reparaciones menores y mayores de Instalaciones, Maquinarias y Vehículos",Administración Nacional de Navegación y Puertos  / Empresas Públicas,ADJ,Adjudicada,2019-04-30 08:00:00,tradicional,2019-02-28 00:00:00,2019-04-12 14:17:12,
38,346639-servicio-rastreo-satelital-vehiculos-1,,,,,346639,Servicio de rastreo satelital de vehículos,CD - Contratación Directa,7 - Servicios Técnicos,"Ministerio de Urbanismo, Vivienda y Habitat / Poder Ejecutivo",CAN,Anulada o Cancelada,,tradicional,2019-01-31 00:00:00,,
39,347747-contratacion-servicios-mantenimiento-reparacion-edificios-dependientes-msp-bs-1,347747-contratacion-servicios-mantenimiento-reparacion-edificios-dependientes-msp-bs-1,347747-contratacion-servicios-mantenimiento-reparacion-edificios-dependientes-msp-bs-1,,,347747,CONTRATACIÓN DE SERVICIOS DE MANTENIMIENTO Y REPARACIÓN DE EDIFICIOS DEPENDIENTES DEL MSP Y BS ,LPN - Licitación Pública Nacional,"2 - Servicios de Limpiezas, Mantenimientos y reparaciones menores y mayores de Instalaciones, Maquinarias y Vehículos",Ministerio de Salud Pública y Bienestar Social / Poder Ejecutivo,ADJ,Adjudicada,2019-07-19 08:50:00,tradicional,2019-03-31 00:00:00,2019-06-19 17:40:44,
40,348176-adquisicion-opacimetros-1,"348176-adquisicion-opacimetros-direccion-gestion-ambiental-3,348176-adquisicion-opacimetros-1",,,,348176,ADQUISICIÓN DE OPACIMETROS PARA LA DIRECCIÓN DE GESTIÓN AMBIENTAL,CD - Contratación Directa,"22 - Maquinarias, Equipos y herramientas mayores - Equipos de transporte",Municipalidad de Asunción / Municipalidades,EVAL,En Evaluacion (Cerrada),2019-01-28 09:45:00,tradicional,2019-01-31 00:00:00,2018-12-10 16:52:57,
41,348662-contratacion-servicio-mantenimiento-reparacion-edificio-centro-nacional-control-adic-1,348662-mantenimiento-reparacion-edificio-centro-nacional-control-adicciones-instituto-nacio-1,348662-mantenimiento-reparacion-edificio-centro-nacional-control-adicciones-instituto-nacio-1,,,348662,MANTENIMIENTO Y REPARACIÓN DEL EDIFICIO DEL CENTRO NACIONAL DE CONTROL DE ADICCIONES; DEL INSTITUTO NACIONAL DE SALUD Y EL PROGRAMA NACIONAL DE PREVENCION DEL CANCER DE CUELLO UTERINO Y MAMA DEL MSPBS ,CD - Contratación Directa,"2 - Servicios de Limpiezas, Mantenimientos y reparaciones menores y mayores de Instalaciones, Maquinarias y Vehículos",Ministerio de Salud Pública y Bienestar Social / Poder Ejecutivo,ADJ,Adjudicada,2019-07-10 09:50:00,tradicional,2019-05-31 00:00:00,2019-06-20 17:02:34,
